,Made Donation in March 2007
659,0.5
276,0.5
263,0.5
303,0.5
83,0.5
500,0.5
530,0.5
244,0.5
249,0.5
728,0.5
129,0.5
534,0.5
317,0.5
401,0.5
696,0.5
192,0.5
176,0.5
571,0.5
139,0.5
423,0.5
563,0.5
56,0.5
528,0.5
101,0.5
467,0.5
382,0.5
466,0.5
294,0.5
512,0.5
659,0.5
389,0.5
487,0.5
701,0.5
419,0.5
536,0.5
240,0.5
508,0.5
515,0.5
283,0.5
650,0.5
65,0.5
228,0.5
741,0.5
297,0.5
464,0.5
63,0.5
231,0.5
28,0.5
248,0.5
357,0.5
300,0.5
726,0.5
680,0.5
520,0.5
254,0.5
582,0.5
143,0.5
98,0.5
1,0.5
221,0.5
352,0.5
64,0.5
138,0.5
745,0.5
64,0.5
688,0.5
623,0.5
289,0.5
174,0.5
690,0.5
105,0.5
427,0.5
48,0.5
14,0.5
657,0.5
301,0.5
455,0.5
579,0.5
722,0.5
98,0.5
491,0.5
303,0.5
466,0.5
65,0.5
300,0.5
9,0.5
622,0.5
323,0.5
289,0.5
568,0.5
290,0.5
156,0.5
464,0.5
426,0.5
306,0.5
4,0.5
12,0.5
187,0.5
406,0.5
96,0.5
509,0.5
733,0.5
548,0.5
478,0.5
501,0.5
127,0.5
199,0.5
299,0.5
162,0.5
235,0.5
23,0.5
473,0.5
487,0.5
683,0.5
303,0.5
309,0.5
569,0.5
34,0.5
686,0.5
84,0.5
733,0.5
537,0.5
181,0.5
453,0.5
67,0.5
161,0.5
307,0.5
703,0.5
181,0.5
246,0.5
316,0.5
278,0.5
346,0.5
545,0.5
419,0.5
694,0.5
622,0.5
663,0.5
262,0.5
461,0.5
373,0.5
233,0.5
466,0.5
207,0.5
263,0.5
16,0.5
513,0.5
449,0.5
429,0.5
701,0.5
632,0.5
529,0.5
245,0.5
344,0.5
353,0.5
241,0.5
633,0.5
624,0.5
726,0.5
189,0.5
138,0.5
402,0.5
511,0.5
590,0.5
334,0.5
447,0.5
119,0.5
389,0.5
644,0.5
423,0.5
131,0.5
405,0.5
82,0.5
643,0.5
156,0.5
617,0.5
574,0.5
272,0.5
613,0.5
545,0.5
685,0.5
570,0.5
537,0.5
691,0.5
85,0.5
483,0.5
455,0.5
93,0.5
744,0.5
33,0.5
321,0.5
523,0.5
426,0.5
196,0.5
301,0.5
103,0.5
224,0.5
454,0.5
585,0.5
154,0.5
